service_id,date,exception_type,holiday_name
BUS32024-hbc34j47-Sunday-02,20240704,1,Independence Day
BUS32024-hbc34ns1-Weekday-02,20240704,2,Independence Day
BUS32024-hbf34ns1-Weekday-02,20240704,2,Independence Day
BUS32024-hbg34j47-Sunday-02,20240704,1,Independence Day
BUS32024-hbg34ns1-Weekday-02,20240704,2,Independence Day
BUS32024-hbl34j47-Sunday-02,20240704,1,Independence Day
BUS32024-hbq34j47-Sunday-02,20240704,1,Independence Day
BUS32024-hbq34ns1-Weekday-02,20240704,2,Independence Day
BUS32024-hbs34j47-Sunday-02,20240704,1,Independence Day
BUS32024-hbt34j47-Sunday-02,20240704,1,Independence Day
BUS32024-hbt34ns1-Weekday-02,20240704,2,Independence Day
Boat-EastBoston-Saturday-Summer-24,20240704,1,Independence Day
Boat-EastBoston-Weekday-Summer-24,20240704,2,Independence Day
Boat-F1-Saturday-Summer-24,20240704,1,Independence Day
Boat-F1-Weekday-Summer-24,20240704,2,Independence Day
Boat-F4-Saturday-Summer-24,20240704,1,Independence Day
Boat-F4-Weekday-Summer-24,20240704,2,Independence Day
Boat-F6-Weekday-Summer-24,20240704,2,Independence Day
Boat-Lynn-Saturday-Summer-24,20240704,1,Independence Day
Boat-Lynn-Weekday-Summer-24,20240704,2,Independence Day
LRV32024-hlb34011-Weekday-01,20240704,2,Independence Day
LRV32024-hlb34j41-Weekday-01,20240704,1,Independence Day
LRV32024-hlm34011-Weekday-01,20240704,2,Independence Day
LRV32024-hlm34j41-Weekday-01,20240704,1,Independence Day
PRIV22024-hpa24011-Weekday-01,20240704,2,Independence Day
PRIV22024-hpj24011-Weekday-01,20240704,2,Independence Day
PRIV22024-hpj24017-Sunday-01,20240704,1,Independence Day
PRIV32024-hpp34hl7-Sunday-01,20240704,1,Independence Day
PRIV32024-hpp34ns1-Weekday-01,20240704,2,Independence Day
RTL32024-hmb34011-Weekday-01,20240704,2,Independence Day
RTL32024-hmb34j41-Weekday-01,20240704,1,Independence Day
RTL32024-hmo34011-Weekday-01,20240704,2,Independence Day
RTL32024-hmo34j41-Weekday-01,20240704,1,Independence Day
RTL32024-hms34011-Weekday-01,20240704,2,Independence Day
RTL32024-hms34j41-Weekday-01,20240704,1,Independence Day
SPRING2024-NORTHSAT-Saturday-1,20240704,1,Independence Day
SPRING2024-NORTHSAT-Saturday-1-S72,20240704,1,Independence Day
SPRING2024-NORTHSAT-Saturday-1-S9f,20240704,1,Independence Day
SPRING2024-NORTHSAT-Saturday-9-S6d,20240704,1,Independence Day
SPRING2024-NORTHWKD-Weekday-5,20240704,2,Independence Day
SPRING2024-NORTHWKD-Weekday-5-S7d8482ee,20240704,2,Independence Day
SPRING2024-NORTHWKD-Weekday-5-S9d378dcf,20240704,2,Independence Day
