service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
BUS22024-hbb24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS22024-hbc24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS22024-hbg24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS22024-hbl24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS22024-hbq24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS22024-hbs24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS22024-hbt24017-Sunday-02,0,0,0,0,0,0,1,20240602,20240609
BUS32024-hba34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
BUS32024-hbb34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbb34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
BUS32024-hbc34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbc34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
BUS32024-hbf34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
BUS32024-hbg34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbg34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
BUS32024-hbl343l1-Weekday-02,1,1,1,1,1,0,0,20240705,20240802
BUS32024-hbl34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbl34sn1-Weekday-02,1,1,1,1,1,0,0,20240805,20240823
BUS32024-hbl34sp1-Weekday-02,0,0,0,0,0,0,0,20240619,20240619
BUS32024-hbq34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbq34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
BUS32024-hbs34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbs34nt1-Weekday-02,1,1,1,1,1,0,0,20240805,20240823
BUS32024-hbs34sp1-Weekday-02,0,0,0,0,0,0,0,20240619,20240619
BUS32024-hbs34ut1-Weekday-02,1,1,1,1,1,0,0,20240708,20240802
BUS32024-hbt34j47-Sunday-02,0,0,0,0,0,0,0,20240704,20240704
BUS32024-hbt34ns1-Weekday-02,1,1,1,1,1,0,0,20240624,20240823
Boat-EastBoston-Saturday-Summer-24,0,0,0,0,0,1,0,20240601,20240824
Boat-EastBoston-Sunday-Summer-24,0,0,0,0,0,0,1,20240602,20240818
Boat-EastBoston-Weekday-Summer-24,1,1,1,1,1,0,0,20240531,20240823
Boat-F1-Saturday-Summer-24,0,0,0,0,0,1,0,20240601,20240824
Boat-F1-Sunday-Summer-24,0,0,0,0,0,0,1,20240602,20240818
Boat-F1-Weekday-Summer-24,1,1,1,1,1,0,0,20240531,20240823
Boat-F4-Saturday-Summer-24,0,0,0,0,0,1,0,20240601,20240824
Boat-F4-Sunday-Summer-24,0,0,0,0,0,0,1,20240602,20240818
Boat-F4-Weekday-Summer-24,1,1,1,1,1,0,0,20240531,20240823
Boat-F6-Weekday-Summer-24,1,1,1,1,1,0,0,20240531,20240823
Boat-Lynn-Saturday-Summer-24,0,0,0,0,0,1,0,20240601,20240824
Boat-Lynn-Sunday-Summer-24,0,0,0,0,0,0,1,20240602,20240818
Boat-Lynn-Weekday-Summer-24,1,1,1,1,1,0,0,20240531,20240823
CR-FHNwtnHghldsShuttle-SpringSaturday,0,0,0,0,0,1,0,20240601,20240608
CR-FHNwtnHghldsShuttle-SpringSunday,0,0,0,0,0,0,1,20240602,20240609
CR-FHNwtnHghldsShuttle-SummerSaturday,0,0,0,0,0,1,0,20240629,20240629
CR-FHNwtnHghldsShuttle-SummerSunday,0,0,0,0,0,0,1,20240630,20240630
CR-FHNwtnHghldsShuttle-SummerWeekday,1,0,0,0,1,0,0,20240628,20240701
LRV22024-hlb24017-Sunday-49,0,0,0,0,0,0,1,20240602,20240609
LRV22024-hlm24017-Sunday-01,0,0,0,0,0,0,1,20240602,20240609
LRV32024-hlb34011-Weekday-01,1,1,1,1,1,0,0,20240617,20240823
LRV32024-hlb34j41-Weekday-01,0,0,0,0,0,0,0,20240704,20240704
LRV32024-hlm34011-Weekday-01,1,1,1,1,1,0,0,20240617,20240823
