id,entity_id,vehicle_trip_trip_id,vehicle_vehicle_id,vehicle_trip_direction_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_trip_schedule_relationship,vehicle_vehicle_label,vehicle_vehicle_license_plate,vehicle_vehicle_wheelchair_accessible,vehicle_position_latitude,vehicle_position_longitude,vehicle_position_point,vehicle_position_bearing,vehicle_position_odometer,vehicle_position_speed,vehicle_current_stop_sequence,vehicle_trip_route_id,vehicle_current_status,vehicle_timestamp,vehicle_congestion_level,vehicle_stop_id,vehicle_occupancy_percentage,vehicle_occupancy_status,feed_message_id
3844492,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287067
3832393,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286526
3820397,y1222,61885889,y1222,0,0 days 19:15:00,2024-06-01,SCHEDULED,1222,,,42.316685,-71.113716,0101000020E61000000B42791F47C751C01F11532289284540,212.0,,,19,39,STOPPED_AT,2024-06-01 17:53:17-06:00,,1161,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286000
3832646,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.307518,-71.11557,0101000020E61000008599B67F65C751C03677F4BF5C274540,179.0,,,23,39,STOPPED_AT,2024-06-01 18:02:19-06:00,,99991,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286541
3832711,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.34451,-71.08284,0101000020E61000003EB324404DC551C08E9257E7182C4540,199.0,,,5,39,IN_TRANSIT_TO,2024-06-01 18:02:18-06:00,,31391,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286541
3832740,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:01:46-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286541
3844795,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.335968,-71.100266,0101000020E6100000A6B915C26AC651C05340DAFF002B4540,231.0,,,9,39,STOPPED_AT,2024-06-01 18:11:20-06:00,,91391,60.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287082
3844818,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287082
3820445,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.322144,-71.11201,0101000020E6100000CCB4FD2B2BC751C0234DBC033C294540,177.0,,,17,39,IN_TRANSIT_TO,2024-06-01 17:53:32-06:00,,61365,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286016
3845121,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.335445,-71.101746,0101000020E6100000ED9FA70183C651C0A94D9CDCEF2A4540,248.0,,,9,39,STOPPED_AT,2024-06-01 18:11:35-06:00,,91391,60.0,FEW_SEATS_AVAILABLE,MBTA-vehicle-1717287097
3820510,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.348545,-71.071945,0101000020E6100000168733BF9AC451C09817601F9D2C4540,0.0,,,2,39,IN_TRANSIT_TO,2024-06-01 17:53:33-06:00,,173,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286016
3845144,y1216,61885964,y1216,0,0 days 20:13:00,2024-06-01,SCHEDULED,1216,,,42.34768,-71.074615,0101000020E6100000A032FE7DC6C451C094BC3AC7802C4540,0.0,,,1,39,STOPPED_AT,2024-06-01 18:08:18-06:00,,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717287097
3820750,y1222,61885889,y1222,0,0 days 19:15:00,2024-06-01,SCHEDULED,1222,,,42.315464,-71.1142,0101000020E6100000014D840D4FC751C05D88D51F61284540,181.0,,,20,39,IN_TRANSIT_TO,2024-06-01 17:53:32-06:00,,1164,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286016
3832992,y1200,61885934,y1200,0,0 days 19:33:00,2024-06-01,SCHEDULED,1200,,,42.306637,-71.11525,0101000020E61000004C37894160C751C02D5F97E13F274540,159.0,,,24,39,IN_TRANSIT_TO,2024-06-01 18:02:31-06:00,,2006,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286556
3833055,y1253,61885918,y1253,0,0 days 19:53:00,2024-06-01,SCHEDULED,1253,,,42.344868,-71.08288,0101000020E6100000855FEAE74DC551C0EDB776A2242C4540,353.0,,,5,39,IN_TRANSIT_TO,2024-06-01 18:02:29-06:00,,31391,20.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717286556
