entity_id,vehicle_trip_trip_id,vehicle_vehicle_id,vehicle_trip_start_time,vehicle_trip_start_date,vehicle_vehicle_label,vehicle_position_point,vehicle_position_bearing,vehicle_current_stop_sequence,vehicle_current_status,vehicle_timestamp,vehicle_stop_id,vehicle_occupancy_percentage,vehicle_occupancy_status,feed_message_id,vehicle_trip_start_timestamp,time_traveled,distance_traveled
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.070946 42.346615),342.0,1,STOPPED_AT,2024-06-01 21:40:38-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292442,2024-06-01 21:49:00-04:00,-1 days +23:51:38,326.4513425506047
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.071465 42.34795),340.0,1,STOPPED_AT,2024-06-01 21:40:52-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292457,2024-06-01 21:49:00-04:00,-1 days +23:51:52,376.09455780490254
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.066826 42.33145),285.0,1,STOPPED_AT,2024-06-01 21:33:55-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292037,2024-06-01 21:49:00-04:00,-1 days +23:44:55,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07161 42.348278),0.0,1,STOPPED_AT,2024-06-01 21:41:04-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292472,2024-06-01 21:49:00-04:00,-1 days +23:52:04,386.7902089363248
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.0717 42.348515),341.0,1,STOPPED_AT,2024-06-01 21:41:21-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292487,2024-06-01 21:49:00-04:00,-1 days +23:52:21,394.34995381206016
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.06811 42.331703),284.0,1,STOPPED_AT,2024-06-01 21:34:07-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292052,2024-06-01 21:49:00-04:00,-1 days +23:45:07,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07025 42.332108),287.0,1,STOPPED_AT,2024-06-01 21:34:23-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292067,2024-06-01 21:49:00-04:00,-1 days +23:45:23,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07223 42.349377),332.0,1,STOPPED_AT,2024-06-01 21:41:37-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292502,2024-06-01 21:49:00-04:00,-1 days +23:52:37,488.3660607484311
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07271 42.350483),1.0,1,STOPPED_AT,2024-06-01 21:41:54-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292516,2024-06-01 21:49:00-04:00,-1 days +23:52:54,614.0474917631301
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.071625 42.332798),36.0,1,STOPPED_AT,2024-06-01 21:34:41-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292083,2024-06-01 21:49:00-04:00,-1 days +23:45:41,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07019 42.33401),50.0,1,STOPPED_AT,2024-06-01 21:34:54-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292097,2024-06-01 21:49:00-04:00,-1 days +23:45:54,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.074135 42.35016),250.0,1,STOPPED_AT,2024-06-01 21:42:08-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292532,2024-06-01 21:49:00-04:00,-1 days +23:53:08,776.3674568289532
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.06721 42.335186),81.0,1,STOPPED_AT,2024-06-01 21:35:10-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292112,2024-06-01 21:49:00-04:00,-1 days +23:46:10,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.06487 42.335415),47.0,1,STOPPED_AT,2024-06-01 21:35:26-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292128,2024-06-01 21:49:00-04:00,-1 days +23:46:26,149.0676616367472
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.074776 42.35007),0.0,1,STOPPED_AT,2024-06-01 21:42:23-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292547,2024-06-01 21:49:00-04:00,-1 days +23:53:23,847.822900098173
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.06458 42.33709),19.0,1,STOPPED_AT,2024-06-01 21:35:41-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292142,2024-06-01 21:49:00-04:00,-1 days +23:46:41,222.18823573391302
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.06361 42.339005),20.0,1,STOPPED_AT,2024-06-01 21:35:54-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292157,2024-06-01 21:49:00-04:00,-1 days +23:46:54,394.34995381206016
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07479 42.350048),0.0,1,STOPPED_AT,2024-06-01 21:42:36-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292562,2024-06-01 21:49:00-04:00,-1 days +23:53:36,849.9422547891044
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07479 42.350048),0.0,1,STOPPED_AT,2024-06-01 21:42:36-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292576,2024-06-01 21:49:00-04:00,-1 days +23:53:36,849.9422547891044
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.074425 42.347603),0.0,1,STOPPED_AT,2024-06-01 21:48:26-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292953,2024-06-01 21:49:00-04:00,-1 days +23:59:26,0.0
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.1001 42.33612),227.0,9,STOPPED_AT,2024-06-01 22:02:36-04:00,91391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717293763,2024-06-01 21:49:00-04:00,0 days 00:13:36,4100.896815843497
y1200,61885995,y1200,0 days 21:49:00,2024-06-01,1200,POINT (-71.07465 42.349716),137.0,1,STOPPED_AT,2024-06-01 21:43:05-04:00,23391,0.0,MANY_SEATS_AVAILABLE,MBTA-vehicle-1717292592,2024-06-01 21:49:00-04:00,-1 days +23:54:05,844.1325008283641
